Symbol,Name,Sector,Location,CIK,Founded
DWDP,DowDuPont,Materials,"Midland, Michigan",0001666700,"2017
"
DTE,DTE Energy Co.,Utilities,"Detroit, Michigan",0000936340,"1995
"
DUK,Duke Energy,Utilities,"Charlotte, North Carolina","0001326160
","
"
DRE,Duke Realty Corp,Real Estate,"Indianapolis, Indiana","0000783280
","
"
DXC,DXC Technology,Information Technology,"Tysons Corner, Virginia","0001688568
","
"
ETFC,E*Trade,Financials,"New York, New York","0001015780
","
"
EMN,Eastman Chemical,Materials,"Kingsport, Tennessee","0000915389
","
"
ETN,Eaton Corporation,Industrials,"Dublin, Ireland",0001551182,"1911
"
EBAY,eBay Inc.,Information Technology,"San Jose, California",0001065088,"1995
"
ECL,Ecolab Inc.,Materials,"St. Paul, Minnesota","0000031462
","
"
EIX,Edison Int'l,Utilities,"Rosemead, California",0000827052,"1886
"
EW,Edwards Lifesciences,Health Care,"Irvine, California","0001099800
","
"
EA,Electronic Arts,Information Technology,"Redwood City, California","0000712515
","
"
EMR,Emerson Electric Company,Industrials,"Ferguson, Missouri",0000032604,"1890
"
ETR,Entergy Corp.,Utilities,"New Orleans, Louisiana",0000065984,"1913
"
EVHC,Envision Healthcare,Health Care,"Nashville, Tennessee","0000895930
","
"
EOG,EOG Resources,Energy,"Houston, Texas","0000821189
","
"
EQT,EQT Corporation,Energy,"Pittsburgh, Pennsylvania","0000033213
","
"
EFX,Equifax Inc.,Industrials,"Atlanta, Georgia","0000033185
","
"
EQIX,Equinix,Real Estate,"Redwood City, California","0001101239
","
"
EQR,Equity Residential,Real Estate,"Chicago, Illinois","0000906107
","
"
ESS,"Essex Property Trust, Inc.",Real Estate,"Palo Alto, California","0000920522
","
"
EL,Estee Lauder Cos.,Consumer Staples,"New York, New York","0001001250
","
"
RE,Everest Re Group Ltd.,Financials,"Hamilton, Bermuda","0001095073
","
"
EVRG,Evergy,Utilities,"Kansas City, Missouri",0001711269,"1909
"
ES,Eversource Energy,Utilities,"Springfield, Massachusetts",0000072741,"1966
"
EXC,Exelon Corp.,Utilities,"Chicago, Illinois",0001109357,"2000
"
EXPE,Expedia Inc.,Consumer Discretionary,"Bellevue, Washington","0001324424
","
"
EXPD,Expeditors International,Industrials,"Seattle, Washington","0000746515
","
"
ESRX,Express Scripts,Health Care,"Cool Valley, Missouri","0001532063
","
"
EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah","0001289490
","
"
XOM,Exxon Mobil Corp.,Energy,"Irving, Texas",0000034088,"1999
"
FFIV,F5 Networks,Information Technology,"Seattle, Washington",0001048695,"1996
"
FB,"Facebook, Inc.",Information Technology,"Menlo Park, California","0001326801
","
"
FAST,Fastenal Co,Industrials,"Winona, Minnesota","0000815556
","
"
FRT,Federal Realty Investment Trust,Real Estate,"Rockville, Maryland","0000034903
","
"
FDX,FedEx Corporation,Industrials,"Memphis, Tennessee","0001048911
","
"
FIS,Fidelity National Information Services,Information Technology,"Jacksonville, Florida","0001136893
","
"
FITB,Fifth Third Bancorp,Financials,"Cincinnati, Ohio",0000035527,"1858
"
FE,FirstEnergy Corp,Utilities,"Akron, Ohio",0001031296,"1997
"
FISV,Fiserv Inc,Information Technology,"Brookfield, Wisconsin","0000798354
","
"
FLT,FleetCor Technologies Inc,Information Technology,"Norcross, Georgia",0001175454,"2000
"
FLIR,FLIR Systems,Information Technology,"Wilsonville, Oregon","0000354908
","
"
FLS,Flowserve Corporation,Industrials,"Irving, Texas","0000030625
","
"
FLR,Fluor Corp.,Industrials,"Irving, Texas","0001124198
","
"
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania","0000037785
","
"
FL,Foot Locker Inc,Consumer Discretionary,"New York, New York","0000850209
","
"
F,Ford Motor,Consumer Discretionary,"Dearborn, Michigan",0000037996,"1903
"
FTV,Fortive Corp,Industrials,"Everett, Washington","0001659166
","
"
FBHS,Fortune Brands Home & Security,Industrials,"Deerfield, Illinois","0001519751
","
"
BEN,Franklin Resources,Financials,"San Mateo, California",0000038777,"1947
"
FCX,Freeport-McMoRan Inc.,Materials,"Phoenix, Arizona",0000831259,"1912
"
GPS,Gap Inc.,Consumer Discretionary,"San Francisco, California","0000039911
","
"
GRMN,Garmin Ltd.,Consumer Discretionary,"Schaffhausen, Switzerland","0001121788
","
"
IT,Gartner Inc,Information Technology,"Stamford, Connecticut","0000749251
","
"
GD,General Dynamics,Industrials,"Falls Church, Virginia",0000040533,"1899
"
GE,General Electric,Industrials,"Boston, Massachusetts",0000040545,"1892
"
GGP,General Growth Properties Inc.,Real Estate,"Chicago, Illinois","0001496048
","
"
GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota",0000040704,"1856
"
GM,General Motors,Consumer Discretionary,"Detroit, Michigan","0001467858
","
"
GPC,Genuine Parts,Consumer Discretionary,"Atlanta, Georgia",0000040987,"1925
"
GILD,Gilead Sciences,Health Care,"Foster City, California","0000882095
","
"
GPN,Global Payments Inc.,Information Technology,"Atlanta, Georgia","0001123360
","
"
GS,Goldman Sachs Group,Financials,"New York, New York","0000886982
","
"
GT,Goodyear Tire & Rubber,Consumer Discretionary,"Akron, Ohio",0000042582,"1898
"
GWW,Grainger (W.W.) Inc.,Industrials,"Lake Forest, Illinois","0000277135
","
"
HAL,Halliburton Co.,Energy,"Houston, Texas",0000045012,"1919
"
HBI,Hanesbrands Inc,Consumer Discretionary,"Winston-Salem, North Carolina","0001359841
","
"
HOG,Harley-Davidson,Consumer Discretionary,"Milwaukee, Wisconsin",0000793952,"1903
"
HRS,Harris Corporation,Information Technology,"Melbourne, Florida","0000202058
","
"
HIG,Hartford Financial Svc.Gp.,Financials,"Hartford, Connecticut","0000874766
","
"
HAS,Hasbro Inc.,Consumer Discretionary,"Pawtucket, Rhode Island","0000046080
","
"
HCA,HCA Holdings,Health Care,"Nashville, Tennessee","0000860730
","
"
HCP,HCP Inc.,Real Estate,"Long Beach, California","0000765880
","
"
HP,Helmerich & Payne,Energy,,"0000046765
","
"
HSIC,Henry Schein,Health Care,"Melville, New York","0001000228
","
"
HES,Hess Corporation,Energy,"New York, New York","0000004447
","
"
HPE,Hewlett Packard Enterprise,Information Technology,"Palo Alto, California","0001645590
","
"
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Tysons Corner, Virginia","0001585689
","
"
HFC,HollyFrontier Corp,Energy,"Dallas, Texas","0000048039
","1947
"
HOLX,Hologic,Health Care,"Marlborough, Massachusetts","0000859737
","
"
HD,Home Depot,Consumer Discretionary,"Atlanta, Georgia","0000354950
","
"
HON,Honeywell Int'l Inc.,Industrials,"Morristown, New Jersey",0000773840,"1906
"
HRL,Hormel Foods Corp.,Consumer Staples,"Austin, Minnesota","0000048465
","
"
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland","0001070750
","
"
HPQ,HP Inc.,Information Technology,"Palo Alto, California",0000047217,"1939 (2015)
"
HUM,Humana Inc.,Health Care,"Louisville, Kentucky",0000049071,"1961
"
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio",0000049196,"1866
"
HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia","0001501585
","
"
IDXX,IDEXX Laboratories,Health Care,"Westbrook, Maine","0000874716
","
"
INFO,IHS Markit Ltd.,Industrials,,"0001598014
","
"
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois","0000049826
","
"
ILMN,Illumina Inc,Health Care,"San Diego, California","0001110803
","
"
INCY,Incyte,Health Care,"Wilmington, Delaware","0000879169
","
"
IR,Ingersoll-Rand PLC,Industrials,"Dublin, Ireland","0001466258
","
"
